loan_status,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value
0,1,1,0,0.793814432989691,0.755102040816326,0.222222222222222,0.446666666666667,0.202054794520548,0.716494845360825,0.401028277634961,0.591836734693878
0,0,1,1,0.969072164948453,0.85969387755102,0.555555555555556,0.683333333333333,0.818493150684932,0.530927835051546,0.97172236503856,0.530612244897959
0,0.2,0,0,0.0618556701030928,0.0663265306122449,0.333333333333333,0.636666666666667,0.0787671232876712,0.0567010309278351,0.0668380462724936,0.0476190476190476
0,0.4,0,1,0.484536082474227,0.326530612244898,0.888888888888889,0.756666666666667,0.284246575342466,0.170103092783505,0.416452442159383,0.489795918367347
1,1,0,1,0.288659793814433,0.275510204081633,0.555555555555556,0.235,0.294520547945205,0.128865979381443,0.179948586118252,0.136054421768707
0,0.8,1,0,0.0103092783505155,0.0178571428571429,0.444444444444444,0.865,0.0273972602739726,0.0154639175257732,0.0154241645244216,0.0136054421768708
0,0.2,1,1,0.0103092783505155,0.0076530612244898,0.333333333333333,0.86,0.023972602739726,0.0154639175257732,0.0205655526992288,0.0136054421768708
0,1,0,0,0.876288659793814,0.834183673469388,0.111111111111111,0.63,0.773972602739726,0.762886597938144,0.74293059125964,0.292517006802721
1,0.2,1,0,0.938144329896907,0.729591836734694,0.222222222222222,0.376666666666667,0.383561643835616,0.0824742268041237,0.498714652956298,0.748299319727891
0,0.6,0,1,0.958762886597938,0.517857142857143,0,0.718333333333333,0.462328767123288,0.195876288659794,0.524421593830334,0.625850340136054
1,0.2,1,1,0.77319587628866,0.642857142857143,0.555555555555556,0.415,0.623287671232877,0.54639175257732,0.519280205655527,0.476190476190476
0,1,1,0,0.309278350515464,0.247448979591837,0.666666666666667,0.516666666666667,0.102739726027397,0.195876288659794,0.213367609254499,0.238095238095238
0,1,1,0,0.0412371134020619,0.0433673469387755,1,0.851666666666667,0.0136986301369863,0.0206185567010309,0.0411311053984576,0.0408163265306122
1,0,1,0,0.329896907216495,0.267857142857143,0.222222222222222,0.231666666666667,0.184931506849315,0.0721649484536082,0.290488431876607,0.129251700680272
0,0,1,1,0.793814432989691,0.604591836734694,1,0.713333333333333,0.64041095890411,0.804123711340206,0.552699228791774,0.503401360544218
1,0.6,0,0,0.360824742268041,0.221938775510204,0.222222222222222,0.305,0.321917808219178,0.0206185567010309,0.246786632390745,0.244897959183673
0,0.6,1,1,0.536082474226804,0.357142857142857,0.111111111111111,0.491666666666667,0.143835616438356,0.144329896907216,0.488431876606684,0.333333333333333
